"lugar";"nombre";"rio";"año";"caudal_medio_anual";"codigo_de_estacion";"sistema";"cuenca"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1970";"4.88";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1971";"8.25";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1972";"4.57";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1973";"7.33";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1974";"9.00";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1975";"6.18";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1976";"9.55";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1977";"8.14";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1978";"7.74";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1979";"11.16";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1980";"8.35";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1981";"13.73";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1982";"14.73";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1983";"7.00";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1984";"14.21";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1985";"12.45";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1986";"7.73";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1987";"8.2";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1988";"6.97";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1989";"5.62";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1990";"7.15";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"ARRAYANAL";"ARRAYANAL";"CANDELARIA";"1991";"15.04";"4";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"BAJADA DEL PINTO";"BAJADA DEL PINTO";"LAVAYEN";"1970";"11.44";"9";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"BAJADA DEL PINTO";"BAJADA DEL PINTO";"LAVAYEN";"1971";"9.43";"9";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"BAJADA DEL PINTO";"BAJADA DEL PINTO";"LAVAYEN";"1972";"7.5";"9";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"BAJADA DEL PINTO";"BAJADA DEL PINTO";"LAVAYEN";"1973";"18.15";"9";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"BAJADA DEL PINTO";"BAJADA DEL PINTO";"LAVAYEN";"1974";"25.75";"9";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"BAJADA DEL PINTO";"BAJADA DEL PINTO";"LAVAYEN";"1975";"13.22";"9";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"BAJADA DEL PINTO";"BAJADA DEL PINTO";"LAVAYEN";"1976";"22.16";"9";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"BAJADA DEL PINTO";"BAJADA DEL PINTO";"LAVAYEN";"1977";"20.74";"9";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"BAJADA DEL PINTO";"BAJADA DEL PINTO";"LAVAYEN";"1978";"23.68";"9";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"BAJADA DEL PINTO";"BAJADA DEL PINTO";"LAVAYEN";"1979";"25.67";"9";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"BAJADA DEL PINTO";"BAJADA DEL PINTO";"LAVAYEN";"1980";"31.05";"9";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"EL TIPAL";"EL TIPAL";"PERICO";"1970";"9.71";"13";"Sistema Río Paraguay";"Cuencadel Río Bermejo Medio e Inferior"
"EL TIPAL";"EL TIPAL";"PERICO";"1971";"18.45";"13";"Sistema Río Paraguay";"Cuencadel Río Bermejo Medio e Inferior"
"EL TIPAL";"EL TIPAL";"PERICO";"1972";"2.5";"13";"Sistema Río Paraguay";"Cuencadel Río Bermejo Medio e Inferior"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1970";"54.00";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1971";"75.51";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1972";"45.07";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1973";"98.68";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1974";"139.08";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1975";"176.27";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1976";"30.43";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1977";"159.8";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1978";"90.12";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1979";"174.11";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1980";"270.2";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1982";"62.43";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1983";"73.72";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1984";"256.3";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1985";"179.58";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
"CAIMANCITO";"CAIMANCITO";"SAN FRANCISCO";"1986";"104.11";"16";"Sistema Río Paraguay";"Cuencadel Río San Francisco"
