nombre,central,tecnologia_etiqueta,nombre_agente,tecnologia,tecnologia_maquinas,potencia_instalada_mw,provincia,departamento,aglomeracion,sistema,pah,id_renovar,resolucion_renovables,fuente,geojson
CORRALITO,,Hidroeléctrica (Menor a 50 Mw),,HI,,,SALTA,Rosario de Lerma,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-65.6865271439023,-24.9830340962408]}"
PTA CELULOSA,,Térmica,,TV,,,MISIONES,Iguazú,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-54.635397391218,-25.9884369692721]}"
PPEL MISIONERO,,Térmica,,TG,,,MISIONES,Libertador General San Martín,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-55.1224032464816,-26.9360958801401]}"
URUGUA-Ã,,Hidroeléctrica (Menor a 50 Mw),,HI,,,MISIONES,Iguazú,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-54.5686426055334,-25.8766199163741]}"
USINA CAMPAMENTO,,Térmica,,TG,,,NEUQUEN,Pehuenches,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-69.2817501309613,-37.3687648371747]}"
IMEXTRADE,,Térmica,,TG,,,RIO NEGRO,General Roca,BARRIO PRESIDENTE PERON-CINCO SALTOS,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-68.0389089267738,-38.8367764652441]}"
RIO CHICO DI,,Térmica,,DI,,,SANTA CRUZ,Güer Aike,RIO GALLEGOS,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-69.2317253021289,-51.6455464034665]}"
SULFACID,,Térmica,,TV,,,SANTA FE,San Lorenzo,GRAN ROSARIO,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-60.721274282337,-32.7856488373404]}"
SIDERCA,,Térmica,,TV,,,BUENOS AIRES,Campana,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-58.9759568916095,-34.1515631275907]}"
C.T. Manantiales Behr II,,Térmica,,TG,,,CHUBUT,Escalante,,Interconectada no MEM,,,,cammesa,"{""type"":""Point"",""coordinates"":[-67.8071595921762,-45.6614539984206]}"
CHORRIACA,,Térmica,,DI,,,NEUQUEN,Loncopué,CHORRIACA,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-70.100244,-37.936251]}"
CHACHARRAMENDI,,Térmica,,DI,,,LA PAMPA,Utracán,CHACHARRAMENDI,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-65.648055556,-37.330555556]}"
SAN ANTONIO DE LOS COBRES,,Térmica,,DI,,,SALTA,Los Andes,SAN ANTONIO DE LOS COBRES,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-66.318888,-24.2144441]}"
CENTRAL TÉRMICA PIEDRA NEGRA,,Térmica,,DI,,,JUJUY,Yavi,,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-65.630138,-22.2006081]}"
LA HUMADA,,Térmica,,DI,,,LA PAMPA,Chical Co,LA HUMADA,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-68.0151,-36.349444444]}"
ARBOL SOLO,,Térmica,,DI,,,LA PAMPA,Chalileo,,Aislado,,,,DIE,"{""type"":""Point"",""coordinates"":[-66.477222222,-36.6363888891]}"
